Parcel,r,p_uncorrected,p_perm_corrected
1,-0.338204429239108,0.0352158344464846,0.68033196680332
2,-0.311273920512924,0.0537454222098459,0.790920907909209
3,-0.368712376838786,0.0209026753281558,0.545745425457454
4,-0.352176952696779,0.0278944223492207,0.614938506149385
5,-0.0250820236609187,0.879530336425667,0.986501349865013
6,-0.237138487295453,0.146064708592454,0.960703929607039
7,0.115440002294132,0.484044663097586,0.986501349865013
8,-0.0448380565519812,0.786360674657856,0.986501349865013
9,-0.390053778202781,0.0140987684838223,0.444955504449555
10,-0.296048856059403,0.0672595649156734,0.840715928407159
11,-0.178597062089595,0.276672155906231,0.985301469853015
12,0.0412990642263847,0.802875287511255,0.986501349865013
13,-0.0794357384877958,0.630732019004644,0.986501349865013
14,0.0689406694610117,0.676661218894755,0.986501349865013
15,0.316766526999073,0.0494409045551347,0.808719128087191
16,0.221194632343262,0.175976225247655,0.996900309969003
17,-0.134150220800345,0.415530038433119,0.986501349865013
18,-0.0418269840160055,0.800406213377971,0.986501349865013
19,-0.017175001656143,0.917347347687239,0.986501349865013
20,0.127285070782483,0.440006973247161,0.986501349865013
21,0.174726844536773,0.287384044077637,0.986701329867013
22,0.31172448799967,0.0533813936692389,0.826117388261174
23,-0.00485551514458571,0.97659641184271,0.986501349865013
24,0.100800297243803,0.541480972844222,0.986501349865013
25,-0.242474535198849,0.136940147372123,0.954304569543046
26,-0.131974076403749,0.423204060138506,0.986501349865013
27,-0.0974884871754911,0.554911449397412,0.986501349865013
28,-0.191729504194787,0.242290612712878,0.983901609839016
29,0.367330890946161,0.0214243199595268,0.582341765823418
30,0.0903563576215727,0.584353056011046,0.986501349865013
31,-0.0384919008156479,0.816035515080141,0.986501349865013
32,-0.0468864424336324,0.776843378866253,0.986501349865013
33,0.0358036230408599,0.828685252289252,0.986501349865013
34,-0.0746012245336394,0.651732562306208,0.986501349865013
35,-0.271545279691319,0.0944825140264439,0.903309669033097
36,-0.160163763382756,0.330063268643401,0.986301369863014
37,-0.161191873140907,0.326927435103563,0.986301369863014
38,-0.102979611907161,0.532728899986794,0.986501349865013
39,-0.139732751260168,0.396208053339252,0.986501349865013
40,-0.427848343051295,0.00658778128839788,0.295370462953705
41,-0.0852980369304391,0.605646658045868,0.986501349865013
42,-0.450100394085971,0.00403938531577652,0.21017898210179
43,-0.220864265062125,0.176639097061741,0.974702529747025
44,-0.215626280132741,0.187388265323937,0.976302369763024
45,-0.25012865451976,0.124597456929534,0.943705629437056
46,-0.231173315658771,0.156784430089727,0.969303069693031
47,-0.148976067005748,0.365385308308902,0.986501349865013
48,-0.0854293844849753,0.605089544094135,0.986501349865013
49,-0.00274684185935172,0.986758981240733,0.986501349865013
50,0.140505107624509,0.393576428411068,0.986501349865013
51,-0.227650698399644,0.163377288819631,0.970902909709029
52,-0.175296407733288,0.285791015205691,0.985501449855015
53,-0.271474777184118,0.0945714997539999,0.903309669033097
54,-0.0206756998880968,0.900577418268048,0.986501349865013
55,-0.389188882084113,0.0143325178276392,0.448555144485551
56,-0.244025056506614,0.134369586771872,0.952504749525047
57,-0.108092819572551,0.512467701339876,0.986501349865013
58,-0.151349136866029,0.357710272184271,0.986501349865013
59,0.128464858269655,0.435745054448992,0.986501349865013
60,-0.0139245206339925,0.932950413895401,0.986501349865013
61,-0.193161136220242,0.238725109505267,0.983701629837016
62,-0.301695409219899,0.0619653280462475,0.822917708229177
63,0.0414044241398999,0.802382369005368,0.986501349865013
64,-0.34410395650338,0.031952953220815,0.651734826517348
65,-0.150992805453467,0.358856476070207,0.986501349865013
66,0.0085172073143705,0.958958774075866,0.986501349865013
67,-0.0643043548900743,0.697336873723793,0.986501349865013
68,-0.0948344268827972,0.565785935927852,0.986501349865013
69,-0.420211252706104,0.00773566950875637,0.32036796320368
70,-0.326033348860848,0.0428103379052931,0.728727127287271
71,-0.318870857821613,0.0478671021754958,0.761123887611239
72,-0.176751828754599,0.281746343067868,0.985501449855015
73,-0.364304754315499,0.0226050265241555,0.562943705629437
74,-0.450168824043817,0.00403311216877922,0.21017898210179
75,-0.164706542484175,0.316348052825274,0.986101389861014
76,-0.376784991968759,0.0180621467889108,0.505949405059494
77,-0.238475706587875,0.143737296030645,0.958904109589041
78,0.0517733265607502,0.754269410050511,0.986501349865013
79,-0.166054180702755,0.31234938573544,0.986101389861014
80,-0.258803324133938,0.111636519475149,0.928307169283072
81,-0.037698768388919,0.819762987307261,0.986501349865013
82,0.0755557335339961,0.647564589851899,0.986501349865013
83,0.122901776982353,0.456040580351304,0.986501349865013
84,-0.070409253250601,0.67015963932279,0.986501349865013
85,-0.0262648406670008,0.87389379832198,0.986501349865013
86,-0.0607553558300148,0.713311512806757,0.986501349865013
87,-0.0261003834411437,0.87467713396495,0.986501349865013
88,0.185393401036838,0.258500766644471,0.987501249875013
89,0.066828226923391,0.686053793079628,0.986501349865013
90,0.0674946167993783,0.683085711889632,0.986501349865013
91,0.027964957825227,0.865802949278347,0.986501349865013
92,0.171900008318694,0.295375369203518,0.986701329867013
93,-0.091931386509759,0.577791686496482,0.986501349865013
94,-0.132379746787362,0.421767491868225,0.986501349865013
95,0.173702726487471,0.290262855576977,0.986701329867013
96,0.133620305261535,0.417391451997453,0.986501349865013
97,0.18606585975669,0.256746995722075,0.987501249875013
98,0.0377788362121195,0.819386515125129,0.986501349865013
99,-0.0233282552472707,0.887898362817592,0.986501349865013
100,0.213578934394221,0.191713043357073,0.993500649935007
101,-0.058796466602676,0.722181222215629,0.986501349865013
102,-0.0252774900423785,0.878598459133306,0.986501349865013
103,-0.123422913400081,0.454117982665322,0.986501349865013
104,0.0663785335661464,0.688059344779,0.986501349865013
105,0.07154754883023,0.665136498199591,0.986501349865013
106,-0.344339461000218,0.0318280438099271,0.651334866513349
107,0.0146621309877798,0.929407336358306,0.986501349865013
108,0.149986983295404,0.362103807863209,0.986501349865013
109,0.214017925679644,0.190779850944223,0.993500649935007
110,-0.193247996542376,0.238509930837595,0.983701629837016
111,-0.234324525436927,0.151052478352544,0.965503449655035
112,-0.14126552408127,0.390995428072036,0.986501349865013
113,-0.318226452020594,0.0483446972375188,0.763323667633237
114,-0.101993064473958,0.53668233317636,0.986501349865013
115,-0.270092881257354,0.0963287102273556,0.906109389061094
116,0.0774479817488674,0.639333216594068,0.986501349865013
117,-0.0271217199398784,0.869814281156375,0.986501349865013
118,0.0318738564308732,0.847252886624326,0.986501349865013
119,0.0586517828884597,0.722837778401022,0.986501349865013
120,-0.0763571733157545,0.644073168594332,0.986501349865013
121,-0.0451974455431813,0.78468860845751,0.986501349865013
122,-0.0850186914943076,0.606832240246941,0.986501349865013
123,-0.0747745671119323,0.65097486174703,0.986501349865013
124,0.0964533651100972,0.559140986462426,0.986501349865013
125,-0.0431014420619895,0.794453507927232,0.986501349865013
126,0.146349174591698,0.373995225399116,0.986501349865013
127,0.00328668056899637,0.984157015773266,0.986501349865013
128,0.158254882978272,0.335934861248464,0.986501349865013
129,-0.06042027995788,0.71482611764528,0.986501349865013
130,0.249165483266591,0.126103154977172,0.979502049795021
131,0.0437002832865079,0.791660392261811,0.986501349865013
132,-0.124098513183195,0.451632068520554,0.986501349865013
133,0.170857023223972,0.298359516284328,0.986701329867013
134,-0.0362304747741849,0.826673760490168,0.986501349865013
135,-0.0190401311053376,0.908407681947567,0.986501349865013
136,0.137961321469772,0.402282123151242,0.986501349865013
