Parcel,r,p_uncorrected,p_perm_corrected
1,-0.194800236996652,0.132474191824859,0.933706629337066
2,-0.247640379177082,0.0543284443845995,0.74972502749725
3,-0.186936778920044,0.149141828031148,0.945105489451055
4,-0.227965544888298,0.0772314355879855,0.83951604839516
5,-0.192276934508948,0.137661889299698,0.937106289371063
6,-0.183279247380617,0.157405633413297,0.95030496950305
7,-0.232393907575632,0.071503291996139,0.821317868213179
8,-0.255836546928876,0.0465838611590859,0.71012898710129
9,-0.238920989879391,0.0636842488130862,0.79032096790321
10,-0.0729886118341273,0.576153215557456,0.972302769723028
11,-0.00226307430634662,0.986189684236677,0.972302769723028
12,-0.0457940898648321,0.726002555468447,0.972302769723028
13,-0.0298686913726335,0.819252283929286,0.972302769723028
14,-0.0409369643887569,0.754094702986601,0.972302769723028
15,-0.220663711699091,0.0874657764908051,0.867313268673133
16,-0.296044366002562,0.0205289087608099,0.475952404759524
17,-0.183346320100415,0.157251108576579,0.95010498950105
18,-0.221240318460696,0.0866206995687532,0.864913508649135
19,-0.00944185888393429,0.942427414282016,0.972302769723028
20,0.000985635005101236,0.99398496670529,0.972302769723028
21,0.0944623824823992,0.46898383720999,0.972302769723028
22,0.150803941334237,0.246008561849446,0.974702529747025
23,0.025739276078535,0.843902767732784,0.972302769723028
24,0.0680677158072953,0.602204574334776,0.972302769723028
25,-0.267614588902315,0.0370608518375518,0.645535446455354
26,-0.180475564364929,0.163965583158684,0.952704729527047
27,-0.151269024177798,0.244538171537012,0.969303069693031
28,-0.145142851049864,0.264391110384386,0.97010298970103
29,-0.171062248771469,0.187457154281084,0.960703929607039
30,-0.228748136019336,0.0761934713610902,0.835116488351165
31,-0.274256862805267,0.0324438973694284,0.603539646035396
32,-0.117947536862955,0.365302447859454,0.971902809719028
33,0.00378964281442997,0.976875893887743,0.972302769723028
34,-0.195008713633229,0.132052271470232,0.933306669333067
35,-0.320920641524998,0.0116787889430743,0.339366063393661
36,-0.331967143609474,0.00895722068791649,0.280571942805719
37,-0.245343544511709,0.0566771337099713,0.759324067593241
38,-0.276083159874866,0.0312621317579909,0.59034096590341
39,-0.120590424954879,0.354580606902037,0.971902809719028
40,-0.170766270717261,0.188233106365347,0.960703929607039
41,-0.0898646063124519,0.490986646267527,0.972302769723028
42,0.0127451363991148,0.922339424456796,0.972302769723028
43,-0.346939836468088,0.00615747543446798,0.217978202179782
44,-0.0934853648151019,0.473614428747562,0.972302769723028
45,-0.104539442869251,0.422675412839628,0.972102789721028
46,-0.191261443031166,0.139792179462861,0.938306169383062
47,0.0170116972147093,0.896466527394948,0.972302769723028
48,-0.181053800644879,0.162596486305198,0.952704729527047
49,-0.25180938118689,0.050267703927607,0.73012698730127
50,0.230675152581691,0.0736848602808305,0.887911208879112
51,-0.20406658670781,0.114683200509725,0.911908809119088
52,-0.237146474030882,0.0657385215763757,0.800919908009199
53,-0.200773875205002,0.120782245848298,0.91970802919708
54,0.044989329417049,0.730633431717456,0.972302769723028
55,-0.229993985358711,0.0745639822547821,0.830716928307169
56,-0.27971578900377,0.0290183057569406,0.56954304569543
57,-0.200207339729922,0.121856111814927,0.922107789221078
58,-0.221666087014804,0.0860008244738485,0.864313568643136
59,-0.25908950834446,0.043772490857685,0.694930506949305
60,-0.183561805260351,0.156755423193773,0.949505049495051
61,-0.198262117563086,0.125598673503067,0.925507449255074
62,-0.235348645341024,0.0678737131108098,0.807719228077192
63,-0.0916501162393619,0.482378436094343,0.972302769723028
64,-0.0801092451213274,0.539402366498186,0.972302769723028
65,-0.141198852507119,0.277729958265829,0.970702929707029
66,-0.069313006537715,0.595563226715564,0.972302769723028
67,-0.229333238392696,0.0754247064638633,0.832516748325168
68,-0.235167135475196,0.0680923364489672,0.808519148085191
69,0.0200524734782079,0.878090593007276,0.972302769723028
70,0.18632408064484,0.150503178437105,0.995900409959004
71,-0.162091152561168,0.212011011563637,0.965903409659034
72,-0.0163750746554705,0.900320936946989,0.972302769723028
73,-0.23923061049581,0.0633311670609839,0.788321167883212
74,-0.226997423298647,0.0785309691988445,0.843115688431157
75,-0.184298765790132,0.155068899937728,0.949105089491051
76,-0.201416229957903,0.119573409864049,0.917908209179082
77,0.194400000548646,0.133287050476451,0.99010098990101
78,-0.0681725048793994,0.601644465001469,0.972302769723028
79,0.0676273664555413,0.604560789127613,0.972302769723028
80,-0.13627637784001,0.294994184496271,0.970902909709029
81,-0.103627778534974,0.426754281424715,0.972102789721028
82,-0.0976653785793465,0.453975764909731,0.972302769723028
83,0.0088520855842977,0.946018080623251,0.972302769723028
84,0.00530995355656877,0.96760333320027,0.972302769723028
85,-0.0783192630017531,0.548532158199167,0.972302769723028
86,-0.0928201434191047,0.476781217964815,0.972302769723028
87,-0.0274828459987563,0.833474933011002,0.972302769723028
88,-0.0681835793538155,0.601585284075024,0.972302769723028
89,-0.0635984857750731,0.626302670193589,0.972302769723028
90,0.1143397388697,0.380253284837992,0.972302769723028
91,0.0666040801058307,0.610051671270863,0.972302769723028
92,0.158447088139164,0.222604420706468,0.976702329767023
93,-0.0388592514857263,0.766211522240291,0.972302769723028
94,-0.103644370660692,0.426679847606485,0.972102789721028
95,0.129528296500632,0.319775800322433,0.972702729727027
96,0.007446677982228,0.954578679601569,0.972302769723028
97,0.0220587886236273,0.866000422697348,0.972302769723028
98,-0.0936556998549987,0.472805364275235,0.972302769723028
99,-0.0290365149757943,0.824206775984307,0.972302769723028
100,-0.0333139412555368,0.798817214209561,0.972302769723028
101,-0.0139944867544557,0.914753720407496,0.972302769723028
102,-0.0588569189416419,0.652300756988914,0.972302769723028
103,-0.118129954440659,0.364556129917207,0.971902809719028
104,-0.0407642365204872,0.755099818590652,0.972302769723028
105,0.157809274657905,0.224495866678479,0.976702329767023
106,-0.0891145044617341,0.49462683521458,0.972302769723028
107,0.016717060895147,0.898250102475739,0.972302769723028
108,0.127429212793466,0.327747285638639,0.972702729727027
109,0.153557088811731,0.237391890065862,0.975502449755025
110,-0.125741340708357,0.334247469890741,0.971902809719028
111,-0.2138325167341,0.0979781755237054,0.88971102889711
112,-0.123551094714463,0.342802174836734,0.971902809719028
113,-0.174154536309496,0.179487491961462,0.958904109589041
114,-0.118497436635802,0.363055485700824,0.971902809719028
115,-0.138459479035982,0.28725299733481,0.970902909709029
116,-0.121579635785294,0.350617836342717,0.971902809719028
117,-0.069813732147074,0.592901979771752,0.972302769723028
118,0.0136450932953303,0.916874406696309,0.972302769723028
119,-0.131240805102938,0.313364706336545,0.971302869713029
120,-0.0820370244743345,0.529653424972966,0.972302769723028
121,-0.0792198842776502,0.543929263953211,0.972302769723028
122,-0.0797941730103618,0.54100399634163,0.972302769723028
123,0.065357618926806,0.616769070899538,0.972302769723028
124,0.0923978958106014,0.47879717534779,0.972302769723028
125,-0.0313880083767995,0.810225034697481,0.972302769723028
126,0.0703901888303428,0.589844832441324,0.972302769723028
127,0.0564369952207358,0.665732177772168,0.972302769723028
128,0.114742710347324,0.378565418867465,0.972302769723028
129,-0.0172474668471667,0.895039667290382,0.972302769723028
130,0.0851497185726623,0.514098740614714,0.972302769723028
131,0.039464399565119,0.762676516726856,0.972302769723028
132,-0.0679447838911674,0.602861950869572,0.972302769723028
133,-0.0577942031642443,0.658185994930699,0.972302769723028
134,0.00269734126715199,0.983539925208782,0.972302769723028
135,-0.0626008195552867,0.631736807529523,0.972302769723028
136,0.110985490053377,0.394476822064421,0.972302769723028
137,-0.0161129393370422,0.901908697352824,0.972302769723028
138,0.101156792682562,0.437921413968981,0.972302769723028
139,-0.0625620750915188,0.631948236803457,0.972302769723028
140,0.00149396861881082,0.990882869081044,0.972302769723028
141,-0.164226736225828,0.2059703683564,0.965103489651035
142,-0.0863333382407471,0.50824535210292,0.972302769723028
143,0.219237284569642,0.0895842063688425,0.92950704929507
144,-0.14133131562485,0.277274842388306,0.970502949705029
145,-0.155199438991602,0.232351842932691,0.968303169683032
146,-0.152727792245323,0.239965221855359,0.968903109689031
147,0.100321788065163,0.441731738573879,0.972302769723028
148,-0.0953594531097565,0.46475373999383,0.972302769723028
149,-0.155391881800924,0.231766154230629,0.968303169683032
150,-0.108900729729021,0.403472987382064,0.971902809719028
151,-0.0382794762873843,0.769602765723829,0.972302769723028
152,-0.150153155166166,0.248076184611047,0.969503049695031
153,0.181092741264819,0.162504589042115,0.991500849915009
154,0.170419742765417,0.189144513439758,0.983901609839016
155,0.087699575365471,0.501531460412985,0.972302769723028
156,-0.0590156507696947,0.651423508993698,0.972302769723028
157,0.128280863688644,0.324498034107169,0.972702729727027
158,0.12407889188666,0.340728330487922,0.972302769723028
159,0.160352271515355,0.217020848979,0.977702229777022
160,0.14030159055864,0.280825808922436,0.973102689731027
161,0.198582061130292,0.124977185846633,0.983301669833017
162,0.128574429015602,0.323382764561946,0.972702729727027
163,0.173317468759051,0.181620196800883,0.985501449855015
164,0.217867197105477,0.0916566595283864,0.933106689331067
165,0.216973765123107,0.0930281971808524,0.935706429357064
166,0.192301780492907,0.13761007494469,0.993500649935007
167,-0.115101440849728,0.377066645869417,0.971902809719028
168,-0.17593094325149,0.175021719708076,0.957504249575043
169,0.174117450115162,0.179581595509607,0.985701429857014
170,-0.0437387008918793,0.737848958573467,0.972302769723028
171,0.133474100466039,0.305128695353494,0.972902709729027
172,-0.0447505247647311,0.732009449363651,0.972302769723028
173,-0.0781076147381556,0.549616562714953,0.972302769723028
174,-0.19967206758774,0.122877385207101,0.922907709229077
175,0.136985666526105,0.292464284179611,0.972902709729027
176,0.0719090404152019,0.581823939240156,0.972302769723028
177,0.168764928138559,0.193540579281702,0.982101789821018
178,0.0494399482858257,0.705147200933355,0.972302769723028
179,0.024713897235456,0.850047882365601,0.972302769723028
180,0.0373567625361362,0.77500877969175,0.972302769723028
181,-0.00747258144697518,0.95442084762008,0.972302769723028
182,-0.110800075543711,0.395272099452749,0.971902809719028
183,0.0902089128194275,0.489320460671007,0.972302769723028
184,0.0835080342032453,0.522273582093534,0.972302769723028
185,0.113256168746337,0.384814166283311,0.972302769723028
186,-0.0577141887473354,0.658629950776186,0.972302769723028
187,0.0526625714369064,0.686890353131211,0.972302769723028
188,0.0737090812576189,0.572382964318412,0.972302769723028
189,0.0505154615995938,0.699035161933946,0.972302769723028
190,-0.148502455423679,0.253373673407281,0.96970302969703
191,0.21075004631075,0.10303247874169,0.954904509549045
192,-0.10212383952052,0.433531660293425,0.972102789721028
193,0.0653190094215293,0.616977648073532,0.972302769723028
194,0.023455676350882,0.857600531487082,0.972302769723028
